[23:09:01] [Yara DETECT] File: C:\Program Files (x86)\Steam\bin\cef\cef.win64\steamwebhelper.exe | Rules Matched: PE_Process_Injection_Toolmark
[23:09:02] [Yara DETECT] File: C:\Program Files (x86)\Steam\bin\cef\cef.win7x64\steamwebhelper.exe | Rules Matched: PE_Process_Injection_Toolmark
[23:09:04] [Yara DETECT] File: C:\Program Files (x86)\Steam\steamapps\common\wallpaper_engine\bin\applicationwallpaperinject32.exe | Rules Matched: PE_Process_Injection_Toolmark
[23:09:04] [Yara DETECT] File: C:\Program Files (x86)\Steam\steamapps\common\wallpaper_engine\bin\applicationwallpaperinject64.exe | Rules Matched: PE_Process_Injection_Toolmark
[23:09:05] [Yara DETECT] File: C:\Program Files (x86)\Steam\steamapps\common\wallpaper_engine\distribution\bin\applicationwallpaperinject32.exe | Rules Matched: PE_Process_Injection_Toolmark
[23:09:05] [Yara DETECT] File: C:\Program Files (x86)\Steam\steamapps\common\wallpaper_engine\distribution\bin\applicationwallpaperinject64.exe | Rules Matched: PE_Process_Injection_Toolmark
[23:09:08] [Yara DETECT] File: C:\Program Files (x86)\VMware\VMware Workstation\bin\vctl.exe | Rules Matched: Suspicious_PowerShell_Loader
[23:09:10] [Yara DETECT] File: C:\ProgramData\Microsoft\Windows Defender\Platform\4.18.26010.5-0\MpDlp.dll | Rules Matched: PE_Process_Injection_Toolmark
[23:09:10] [Yara DETECT] File: C:\ProgramData\Microsoft\Windows Defender\Platform\4.18.26010.5-0\MpRtp.dll | Rules Matched: PE_Process_Injection_Toolmark
[23:09:10] [Yara DETECT] File: C:\ProgramData\Microsoft\Windows Defender\Platform\4.18.26020.6-0\MpDlp.dll | Rules Matched: PE_Process_Injection_Toolmark
[23:09:10] [Yara DETECT] File: C:\ProgramData\Microsoft\Windows Defender\Platform\4.18.26020.6-0\MpRtp.dll | Rules Matched: PE_Process_Injection_Toolmark
[23:09:12] [Yara DETECT] File: C:\Riot Games\League of Legends\chrome_elf.dll | Rules Matched: PE_Process_Injection_Toolmark
